"
County
","April 1, 1980Census","April 1, 1990Census","April 1, 2000Census","April 1, 2010Census",Percent Change1980 to 1990,Percent Change1990 to 2000,Percent Change2000 to 2010
Illinois,11426518,11430602,12419293,12830632,4,86,33
Adams,71622,66090,68277,67103,77,33,17
Alexander,12264,10626,9590,8238,134,97,141
Bond,16224,14991,17633,17768,76,176,8
Boone,28630,30806,41786,54165,76,356,296
Brown,5411,5836,6950,6937,79,191,2
Bureau,39114,35688,35503,34978,88,5,15
Calhoun,5867,5322,5084,5089,93,45,1
Carroll,18779,16805,16674,15387,105,8,77
Cass,15084,13437,13695,13642,109,19,4
Champaign,168392,173025,179669,201081,28,38,119
Christian,36446,34418,35372,34800,56,28,16
Clark,16913,15921,17008,16335,59,68,40
Clay,15283,14460,14560,13815,54,7,51
Clinton,32617,33944,35535,37762,41,47,63
Coles,52260,51644,53196,53873,12,3,13
Cook,5253655,5105067,5376741,5194675,28,53,34
Crawford,20818,19464,20452,19817,65,51,31
Cumberland,11062,10670,11253,11048,35,55,18
DeKalb,74624,77932,88969,105160,44,142,182
De Witt,18108,16516,16798,16561,88,17,14
Douglas,19774,19464,19922,19980,16,24,3
DuPage,658835,781666,904161,916924,186,157,14
Edgar,21725,19595,19704,18576,98,6,57
Edwards,7961,7440,6971,6721,65,63,36
Effingham,30944,31704,34264,34242,25,81,1
Fayette,22167,20893,21802,22140,57,44,16
Ford,15265,14275,14241,14081,65,2,11
Franklin,43201,40319,39018,39561,67,32,14
Fulton,43687,38080,38250,37069,128,4,31
Gallatin,7590,6909,6445,5589,9,67,133
Greene,16661,15317,14761,13886,81,36,59
Grundy,30582,32337,37535,50063,57,161,334
Hamilton,9172,8499,8621,8457,73,14,19
Hancock,23877,21373,20121,19104,105,59,51
Hardin,5383,5189,4800,4320,36,75,100
Henderson,9114,8096,8213,7331,112,14,107
Henry,57968,51159,51020,50486,117,3,10
Iroquois,32976,30787,31334,29718,66,18,52
Jackson,61522,61067,59612,60218,7,24,10
Jasper,11318,10609,10117,9698,63,46,41
Jefferson,36552,37020,40045,38827,13,82,30
Jersey,20538,20539,21668,22985,0,55,61
Jo Daviess,23520,21821,22289,22678,72,21,17
Johnson,9624,11347,12878,12582,179,135,23
Kane,278405,317471,404119,515269,14,273,275
Kankakee,102926,96255,103833,113449,65,79,93
Kendall,37202,39413,54544,114736,59,384,1104
Knox,61607,56393,55836,52919,85,1,52
Lake,440372,516418,644356,703462,173,248,92
La Salle,112033,106913,111509,113924,46,43,22
Lawrence,17807,15972,15452,16833,103,33,89
Lee,36328,34392,36062,36031,53,49,1
Livingston,41381,39301,39678,38950,5,1,18
Logan,31802,30798,31183,30305,32,13,28
McDonough,37467,35244,32913,32612,59,66,9
McHenry,147897,183241,260077,308760,239,419,187
McLean,119149,129180,150433,169572,84,165,127
Macon,131375,117206,114706,110768,108,21,34
Macoupin,49384,47679,49019,47765,35,28,26
Madison,247691,249238,258941,269282,6,39,40
Marion,43523,41561,41691,39437,45,3,54
Marshall,14479,12846,13180,12640,113,26,41
Mason,19492,16269,16038,14666,165,14,86
Massac,14990,14752,15161,15429,16,28,18
Menard,11700,11164,12486,12705,46,118,18
Mercer,19286,17290,16957,16434,103,19,31
Monroe,20117,22422,27619,32957,115,232,193
Montgomery,31686,30728,30652,30104,3,2,18
Morgan,37502,36397,36616,35547,29,6,29
Moultrie,14546,13930,14287,14846,42,26,39
Ogle,46338,45957,51032,53497,8,11,48
Peoria,200466,182827,183433,186494,88,3,17
Perry,21714,21412,23094,22350,14,79,32
Piatt,16581,15548,16365,16729,62,53,22
Pike,18896,17577,17384,16430,7,11,55
Pope,4404,4373,4413,4470,7,9,13
Pulaski,8840,7523,7348,6161,149,23,162
Putnam,6085,5730,6086,6006,58,62,13
Randolph,35652,34583,33893,33476,3,2,12
Richland,17587,16545,16149,16233,59,24,5
Rock Island,165968,148723,149374,147546,104,4,12
St. Clair,267531,262852,256082,270056,17,26,55
Saline,28448,26551,26733,24913,67,7,68
Sangamon,176089,178386,188951,197465,13,59,45
Schuyler,8365,7498,7189,7544,104,41,49
Scott,6142,5644,5537,5355,81,19,33
Shelby,23923,22261,22893,22363,69,28,23
Stark,7389,6534,6332,5994,116,31,53
Stephenson,49536,48052,48979,47711,3,19,26
Tazewell,132078,123692,128485,135394,63,39,54
Union,17765,17619,18293,17808,8,38,27
Vermilion,95222,88257,83919,81625,73,49,27
Wabash,13713,13111,12937,11947,44,13,77
Warren,21943,19181,18735,17707,126,23,55
Washington,15472,14965,15148,14716,33,12,29
Wayne,18059,17241,17151,16760,45,5,23
White,17864,16522,15371,14665,75,7,46
Whiteside,65970,60186,60653,58498,88,8,36
Will,324460,357313,502266,677560,101,406,349
Williamson,56538,57733,61296,66357,21,62,83
Winnebago,250884,252913,278418,295266,8,101,61
Woodford,33320,32653,35469,38664,2,86,90
