FIPS,State_x,Area_name_x,Civilian_labor_force_2017_x,Employed_2017_x,Unemployed_2017_x,Unemployment_rate_2017_x,State_y,Area_name_y,Civilian_labor_force_2017_y,Employed_2017_y,Unemployed_2017_y,Unemployment_rate_2017_y,Total_poverty_2017,Poverty_rate_2017,Median_income_2017
0,US,United States,"160,273,906","153,293,830","6,980,076",4.4,US,United States,"160,273,906","153,293,830","6,980,076",4.4,"42,583,651",13.4,"60,336"
1000,AL,Alabama,2178243,2081676,96567,4.4,AL,Alabama,2178243,2081676,96567,4.4,"802,263",16.9,"48,193"
1001,AL,"Autauga County, AL",25972,24958,1014,3.9,AL,"Autauga County, AL",25972,24958,1014,3.9,"7,390",13.4,"58,343"
1003,AL,"Baldwin County, AL",92090,88342,3748,4.1,AL,"Baldwin County, AL",92090,88342,3748,4.1,"21,199",10.1,"56,607"
1005,AL,"Barbour County, AL",8317,7831,486,5.8,AL,"Barbour County, AL",8317,7831,486,5.8,"7,414",33.4,"32,490"
1007,AL,"Bibb County, AL",8550,8174,376,4.4,AL,"Bibb County, AL",8550,8174,376,4.4,"4,137",20.2,"45,795"
1009,AL,"Blount County, AL",24725,23726,999,4.0,AL,"Blount County, AL",24725,23726,999,4.0,"7,343",12.8,"48,253"
1011,AL,"Bullock County, AL",4833,4595,238,4.9,AL,"Bullock County, AL",4833,4595,238,4.9,"2,956",34.4,"29,113"
1013,AL,"Butler County, AL",8941,8446,495,5.5,AL,"Butler County, AL",8941,8446,495,5.5,"4,154",21.3,"36,842"
1015,AL,"Calhoun County, AL",45770,43497,2273,5.0,AL,"Calhoun County, AL",45770,43497,2273,5.0,"19,832",17.7,"45,937"
1017,AL,"Chambers County, AL",15200,14579,621,4.1,AL,"Chambers County, AL",15200,14579,621,4.1,"6,036",18.2,"36,883"
1019,AL,"Cherokee County, AL",11340,10877,463,4.1,AL,"Cherokee County, AL",11340,10877,463,4.1,"4,381",17.2,"44,842"
1021,AL,"Chilton County, AL",19257,18470,787,4.1,AL,"Chilton County, AL",19257,18470,787,4.1,"7,303",16.8,"46,405"
1023,AL,"Choctaw County, AL",4407,4128,279,6.3,AL,"Choctaw County, AL",4407,4128,279,6.3,"3,031",23.7,"36,711"
1025,AL,"Clarke County, AL",7737,7078,659,8.5,AL,"Clarke County, AL",7737,7078,659,8.5,"5,541",23.3,"36,719"
1027,AL,"Clay County, AL",5796,5544,252,4.3,AL,"Clay County, AL",5796,5544,252,4.3,"2,363",18.1,"39,642"
1029,AL,"Cleburne County, AL",5724,5466,258,4.5,AL,"Cleburne County, AL",5724,5466,258,4.5,"2,365",16.1,"45,480"
1031,AL,"Coffee County, AL",20886,19966,920,4.4,AL,"Coffee County, AL",20886,19966,920,4.4,"7,954",15.5,"51,998"
1033,AL,"Colbert County, AL",23252,22038,1214,5.2,AL,"Colbert County, AL",23252,22038,1214,5.2,"8,324",15.4,"46,100"
1035,AL,"Conecuh County, AL",4487,4212,275,6.1,AL,"Conecuh County, AL",4487,4212,275,6.1,"2,939",23.7,"30,796"
1037,AL,"Coosa County, AL",4380,4174,206,4.7,AL,"Coosa County, AL",4380,4174,206,4.7,"1,823",17.4,"42,442"
1039,AL,"Covington County, AL",15716,14895,821,5.2,AL,"Covington County, AL",15716,14895,821,5.2,"6,447",17.7,"39,093"
1041,AL,"Crenshaw County, AL",6403,6112,291,4.5,AL,"Crenshaw County, AL",6403,6112,291,4.5,"2,722",19.9,"38,419"
1043,AL,"Cullman County, AL",37824,36404,1420,3.8,AL,"Cullman County, AL",37824,36404,1420,3.8,"11,256",13.8,"45,925"
1045,AL,"Dale County, AL",19934,19040,894,4.5,AL,"Dale County, AL",19934,19040,894,4.5,"8,528",17.7,"42,572"
1047,AL,"Dallas County, AL",15027,13898,1129,7.5,AL,"Dallas County, AL",15027,13898,1129,7.5,"10,796",27.9,"31,329"
1049,AL,"DeKalb County, AL",29570,28239,1331,4.5,AL,"DeKalb County, AL",29570,28239,1331,4.5,"13,785",19.5,"39,906"
1051,AL,"Elmore County, AL",37217,35840,1377,3.7,AL,"Elmore County, AL",37217,35840,1377,3.7,"9,151",12.0,"59,652"
1053,AL,"Escambia County, AL",14443,13721,722,5.0,AL,"Escambia County, AL",14443,13721,722,5.0,"7,971",23.3,"37,870"
1055,AL,"Etowah County, AL",43062,41079,1983,4.6,AL,"Etowah County, AL",43062,41079,1983,4.6,"18,257",18.1,"41,791"
1057,AL,"Fayette County, AL",6553,6243,310,4.7,AL,"Fayette County, AL",6553,6243,310,4.7,"3,146",19.4,"39,394"
1059,AL,"Franklin County, AL",13973,13374,599,4.3,AL,"Franklin County, AL",13973,13374,599,4.3,"6,394",20.5,"41,025"
1061,AL,"Geneva County, AL",10782,10313,469,4.3,AL,"Geneva County, AL",10782,10313,469,4.3,"5,659",21.7,"38,561"
1063,AL,"Greene County, AL",2851,2634,217,7.6,AL,"Greene County, AL",2851,2634,217,7.6,"2,752",33.2,"28,108"
1065,AL,"Hale County, AL",5945,5590,355,6.0,AL,"Hale County, AL",5945,5590,355,6.0,"3,654",25.1,"34,905"
1067,AL,"Henry County, AL",6713,6385,328,4.9,AL,"Henry County, AL",6713,6385,328,4.9,"2,882",17.0,"48,094"
1069,AL,"Houston County, AL",44705,42745,1960,4.4,AL,"Houston County, AL",44705,42745,1960,4.4,"17,095",16.6,"44,753"
1071,AL,"Jackson County, AL",23108,21997,1111,4.8,AL,"Jackson County, AL",23108,21997,1111,4.8,"8,539",16.6,"42,658"
1073,AL,"Jefferson County, AL",310250,296988,13262,4.3,AL,"Jefferson County, AL",310250,296988,13262,4.3,"107,752",16.7,"50,731"
1075,AL,"Lamar County, AL",5740,5498,242,4.2,AL,"Lamar County, AL",5740,5498,242,4.2,"2,570",18.7,"39,796"
1077,AL,"Lauderdale County, AL",42052,40094,1958,4.7,AL,"Lauderdale County, AL",42052,40094,1958,4.7,"12,395",13.7,"46,646"
1079,AL,"Lawrence County, AL",13636,12961,675,5.0,AL,"Lawrence County, AL",13636,12961,675,5.0,"5,494",16.8,"42,912"
1081,AL,"Lee County, AL",73470,70542,2928,4.0,AL,"Lee County, AL",73470,70542,2928,4.0,"27,901",17.8,"51,372"
1083,AL,"Limestone County, AL",41526,39850,1676,4.0,AL,"Limestone County, AL",41526,39850,1676,4.0,"10,830",11.9,"57,342"
1085,AL,"Lowndes County, AL",3659,3357,302,8.3,AL,"Lowndes County, AL",3659,3357,302,8.3,"2,585",25.9,"33,130"
1087,AL,"Macon County, AL",7886,7429,457,5.8,AL,"Macon County, AL",7886,7429,457,5.8,"5,213",30.6,"30,849"
1089,AL,"Madison County, AL",175865,169006,6859,3.9,AL,"Madison County, AL",175865,169006,6859,3.9,"44,979",12.8,"62,750"
1091,AL,"Marengo County, AL",7694,7261,433,5.6,AL,"Marengo County, AL",7694,7261,433,5.6,"4,356",22.8,"37,469"
1093,AL,"Marion County, AL",12518,11914,604,4.8,AL,"Marion County, AL",12518,11914,604,4.8,"5,582",19.3,"38,049"
1095,AL,"Marshall County, AL",42072,40447,1625,3.9,AL,"Marshall County, AL",42072,40447,1625,3.9,"18,873",20.1,"42,751"
1097,AL,"Mobile County, AL",186827,177080,9747,5.2,AL,"Mobile County, AL",186827,177080,9747,5.2,"80,116",19.7,"45,615"
1099,AL,"Monroe County, AL",7215,6728,487,6.7,AL,"Monroe County, AL",7215,6728,487,6.7,"5,018",23.8,"36,432"
1101,AL,"Montgomery County, AL",105736,101133,4603,4.4,AL,"Montgomery County, AL",105736,101133,4603,4.4,"46,315",21.3,"45,833"
1103,AL,"Morgan County, AL",55035,52766,2269,4.1,AL,"Morgan County, AL",55035,52766,2269,4.1,"17,301",14.8,"49,274"
